indicador,valor,unidad,periodo,detalle,fuente_url,fecha_acceso
facturacion_total,34033238,millones de pesos,2025,"Facturación total del comercio electrónico en Argentina; +55 % vs 2024 (nominal)",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
crecimiento_facturacion_interanual,55,%,2025,"Variación nominal respecto de 2024",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
ordenes_de_compra,253,millones,2025,"+3 % interanual",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
unidades_vendidas,645,millones,2025,"+28 % interanual",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
ticket_promedio,134519,pesos,2025,"+46 % interanual",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
compradores_totales,25.1,millones de personas,2025,"Compradores online acumulados en el país",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
compradores_nuevos,1338952,personas,2025,"Incorporados durante 2025",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
frecuencia_compra_mensual_o_mas,60,% de encuestados,2025,"Compran online al menos una vez al mes",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
participacion_facturacion_amba,52,% de la facturación,2025,"AMBA",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
participacion_facturacion_litoral,12,% de la facturación,2025,"Litoral",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
participacion_facturacion_centro,9,% de la facturación,2025,"Centro",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
participacion_facturacion_sur,9,% de la facturación,2025,"Sur",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
participacion_facturacion_noa,7,% de la facturación,2025,"NOA",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
participacion_facturacion_cuyo,5,% de la facturación,2025,"Cuyo",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
participacion_facturacion_resto_pba,5,% de la facturación,2025,"Resto de la provincia de Buenos Aires",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
entregas_en_menos_de_24h,37,% de las entregas,2025,"Logística: entregas realizadas en menos de 24 horas",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
pago_tarjeta_credito,67,% de participación,2025,"Medio de pago principal",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
compradores_cross_border,47,% de compradores,2025,"Compraron productos del exterior; 37 % en 2024",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
busqueda_online_antes_de_compra_fisica,85,% de consumidores,2025,"Omnicanalidad",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
empresas_con_ia,62,% de empresas,2025,"Oferta: implementan IA en sus procesos",https://cace.org.ar/blogs/news/estudio-anual-de-cace-2025-el-ecommerce-como-canal-estructural-del-consumo-argentino,2026-09-08
