indicador,valor,unidad,periodo,detalle,fuente_url,fecha_acceso
facturacion_total,68240,millones de pesos corrientes,2015,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2024_anual_prensa.pdf,2026-09-09
ticket_promedio,1795,pesos corrientes,2015,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
compradores_eligen_envio_domicilio,66,% de compradores,2016,Preferencia declarada por los compradores (fase demanda; respuesta múltiple),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
crecimiento_facturacion_interanual,51,%,2016,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
entregas_hasta_24h,21,% de las entregas,2016,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
envio_a_domicilio_ventas,47,% de las ventas,2016,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
facturacion_total,102700,millones de pesos corrientes,2016,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
ordenes_de_compra,47,millones,2016,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
participacion_facturacion_amba,44,% de la facturación,2016,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,45,% de las ventas,2016,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
ticket_promedio,2185,pesos corrientes,2016,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
unidades_vendidas,75,millones,2016,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2016_anual_resumen.pdf,2026-09-09
crecimiento_facturacion_interanual,52,%,2017,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2017_anual_resumen.pdf,2026-09-09
crecimiento_ordenes_interanual,28,%,2017,Variación de órdenes respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
entregas_hasta_24h,14,% de las entregas,2017,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2017_anual_resumen.pdf,2026-09-09
envio_a_domicilio_ventas,44,% de las ventas,2017,Logística de entrega declarada por las empresas (fase oferta; no incluye marketplaces ni turismo),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2017_anual_resumen.pdf,2026-09-09
facturacion_total,156300,millones de pesos corrientes,2017,"Monto total transaccionado (IVA incluido) declarado por empresas socias, B2C + C2C. 2015 y los decimales de 2021-2023 salen de la serie del informe 2024 (los informes de cada año redondean: 1.520.000, 2.846.000, 7.829.000)",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2017_anual_resumen.pdf,2026-09-09
ordenes_de_compra,60,millones,2017,Transacciones con pago aprobado o autorizado,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2017_anual_resumen.pdf,2026-09-09
participacion_facturacion_amba,39,% de la facturación,2017,"Distribución de la facturación por zona declarada por las empresas (fase oferta). 2017 es el valor revisado que publica el informe 2018 (el informe 2017 decía 49 %); desde 2023 AMBA = CABA + GBA y el resto de la provincia de Buenos Aires va aparte. En 2025 AMBA sube 42 -> 52 mientras resto PBA cae 17 -> 5: la suma AMBA + PBA (59 -> 57) es la cantidad estable, el salto parece reasignación entre categorías",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
retiro_en_punto_de_venta_ventas,50,% de las ventas,2017,"Ídem, retiro en tienda",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2017_anual_resumen.pdf,2026-09-09
ticket_promedio,2600,pesos corrientes,2017,"Facturación sobre órdenes de compra, tal como lo publica CACE. En 2024 no cierra con los otros dos datos del mismo informe (22.025.462 / 246 = 89.535, no 92.341); los demás años reproducen el cociente",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2017_anual_resumen.pdf,2026-09-09
unidades_vendidas,96,millones,2017,Productos vendidos (en unidades),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2017_anual_resumen.pdf,2026-09-09
compradores_eligen_envio_domicilio,62,% de compradores,2018,Preferencia declarada por los compradores (fase demanda; respuesta múltiple),https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2020_anual_resumen.pdf,2026-09-09
crecimiento_facturacion_interanual,47,%,2018,Variación nominal respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
crecimiento_ordenes_interanual,32,%,2018,Variación de órdenes respecto del año anterior,https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
entregas_hasta_24h,19,% de las entregas,2018,"Entregas en el día más entregas en 24 hs, total país (fase oferta). 2016-2020: suma de las dos categorías; 2021-2025: 'neto hasta 24 hs' del informe",https://cdn.shopify.com/s/files/1/0598/0176/3934/files/2018_anual_resumen.pdf,2026-09-09
